iter	Passed	Remaining
0	1	156
1	2	122
2	3	108
3	4	97
4	4	92
5	5	88
6	6	85
7	7	83
8	8	80
9	8	79
10	9	76
11	10	74
12	10	72
13	11	70
14	12	68
15	12	67
16	13	65
17	14	64
18	14	62
19	15	61
20	16	61
21	17	60
22	17	59
23	18	59
24	19	58
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	46
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	61	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	73	0
99	73	0
